ENTIDAD,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Puebla,1286393,1312859,1341513,1371660,1403202,1436133,1470283,1505970,1543262,1581906,1623641,1671163,1722912,1776170,1830778,1886562,1943699,2002290,2062074,2123200,2187060,2252895,2318915,2384790,2449824,2516107,2590272,2670041,2748396,2824807,2894222,2959099,3026778,3096442,3166578,3236738,3306953,3379495,3456088,3534949,3617977,3707116,3797043,3884647,3968773,4051370,4135183,4220588,4308442,4396333,4469419,4523236,4588083,4668723,4748619,4827823,4906143,4983169,5058312,5131083,5201311,5269233,5335359,5400569,5465029,5528526,5592067,5656031,5720227,5784910,5849067,5911927,5973458,6033384,6091538,6147793,6202005,6254044,6303817,6351255,6396328,6438945,6479054,6516563,6551432,6583656,6613289,6640403,6665102,6687508,6707810,6726146,6742608,6757337,6770395,6781840,6791687,6799917,6806499,6811386,6814548
Querétaro,236078,244081,252725,261853,271438,281503,292024,303073,314693,326841,340851,357687,376160,395452,415526,436364,457987,480423,503619,527663,551879,575907,600291,625059,650020,675514,702083,729230,756217,782870,810838,841305,873442,906723,940722,975456,1011480,1049415,1089394,1130871,1172744,1214819,1257023,1299080,1340577,1388486,1445310,1505108,1566910,1629910,1682383,1722262,1765134,1812819,1860439,1907943,1955322,2002480,2049219,2095303,2140591,2185174,2229183,2272727,2315590,2357596,2399117,2440275,2480799,2520559,2559191,2596446,2632381,2666919,2700081,2731925,2762451,2791689,2819671,2846401,2871913,2896198,2919221,2940971,2961421,2980536,2998300,3014711,3029769,3043520,3055982,3067209,3077217,3086040,3093689,3100175,3105510,3109700,3112720,3114555,3115224
Quintana Roo,44106,48791,53866,59237,64941,70941,77295,84018,91142,98669,107847,119678,133152,147433,162473,178285,194872,212278,230488,249548,269679,290933,313079,336010,359606,384266,410464,437722,465403,493360,522330,553107,585442,618966,653414,688382,722084,755366,790478,827071,862909,896962,930388,963757,996792,1038861,1093071,1150945,1210723,1271795,1318605,1350465,1384756,1421856,1459014,1496205,1533474,1570795,1607996,1644845,1681152,1716959,1752356,1787296,1821687,1855550,1889182,1922668,1955949,1988809,2020676,2051327,2080777,2108987,2135971,2161729,2186279,2209646,2231855,2252912,2272851,2291695,2309449,2326147,2341808,2356433,2370025,2382615,2394202,2404799,2414433,2423110,2430857,2437673,2443566,2448546,2452646,2455844,2458136,2459517,2460032
San Luis Potosí,634336,646932,660720,675239,690423,706269,722688,739815,757706,776230,796548,819678,844578,870221,896485,923290,950694,978746,1007257,1036312,1065055,1093001,1120748,1148204,1175005,1200983,1225764,1249258,1271508,1292310,1315226,1342253,1371119,1400721,1430435,1461350,1494040,1528297,1564426,1601590,1638591,1675534,1711973,1747169,1780672,1812106,1842037,1871847,1902446,1932739,1957802,1978142,2003747,2034405,2064633,2094369,2123434,2151636,2178736,2204650,2229375,2253087,2276086,2298611,2320563,2341857,2362907,2383845,2404414,2424711,2444478,2463368,2481387,2498470,2514637,2529956,2544467,2558218,2571290,2583704,2595466,2606561,2616941,2626554,2635278,2643099,2649963,2655878,2660882,2665018,2668381,2671049,2673060,2674475,2675333,2675663,2675445,2674670,2673287,2671253,2668531
Sinaloa,618696,638851,660384,683161,707112,732232,758445,785922,814745,844906,875860,906619,937675,969836,1002903,1036716,1071310,1106668,1142696,1179461,1216228,1252331,1288233,1323919,1359017,1391171,1419654,1446402,1471622,1495104,1518851,1544794,1572221,1600176,1627925,1655873,1685435,1717245,1750870,1785354,1821924,1863377,1906873,1949162,1989746,2022814,2047539,2070590,2094180,2117154,2140262,2165248,2194846,2227763,2260107,2291891,2323008,2353310,2382551,2410564,2437268,2462841,2487526,2511368,2534061,2555526,2576224,2596342,2615933,2634909,2652630,2668773,2683528,2697101,2709649,2721269,2731920,2741574,2750214,2757900,2764645,2770480,2775395,2779346,2782264,2784113,2784835,2784445,2782969,2780466,2777015,2772685,2767544,2761602,2754932,2747554,2739487,2730726,2721234,2710988,2699986
Sonora,555313,571567,588929,607262,626514,646680,667678,689651,712645,736607,761691,788081,815663,844168,873483,903477,934167,965562,997532,1030167,1063365,1097242,1131804,1166502,1201043,1234340,1264164,1291142,1316945,1341342,1367399,1397366,1429403,1462244,1495202,1529765,1568005,1609585,1653497,1698895,1743483,1785900,1826545,1866020,1903875,1937820,1967826,1997127,2027223,2056970,2086611,2117979,2154357,2194342,2233921,2272847,2310956,2348000,2383748,2418033,2450811,2482347,2512983,2542415,2570121,2596164,2621001,2644794,2667850,2690415,2711933,2732162,2751303,2769470,2786712,2803006,2818370,2832919,2846789,2860065,2872702,2884600,2895637,2905727,2914726,2922539,2929067,2934317,2938293,2941071,2942784,2943507,2943350,2942396,2940702,2938319,2935255,2931456,2926895,2921496,2915232
Tabasco,356271,366712,377770,389495,401835,414767,428268,442427,457291,472822,490838,513419,539049,565857,593759,622719,652773,683926,716108,749394,782150,813629,845197,877094,909044,942058,974564,1005213,1035288,1064555,1091915,1118394,1145939,1174199,1202651,1231408,1265153,1304809,1346645,1389994,1431643,1469767,1505909,1541161,1575135,1597179,1606000,1612746,1619689,1625958,1633409,1644459,1660173,1678687,1697120,1715612,1734054,1752276,1770041,1787055,1803227,1818599,1833304,1847015,1859196,1869705,1878980,1887228,1894282,1900363,1905574,1909848,1913303,1915980,1917927,1919219,1919872,1919907,1919363,1918277,1916630,1914446,1911707,1908401,1904523,1900055,1894994,1889345,1883105,1876293,1868943,1861066,1852675,1843805,1834454,1824689,1814487,1803879,1792883,1781498,1769768
Tamaulipas,744089,762428,781895,802407,823898,846336,869617,893874,919185,945432,974048,1005383,1038123,1071863,1106422,1141624,1177485,1214008,1250994,1288551,1327081,1366793,1407199,1447627,1487739,1526031,1565434,1607075,1647638,1686789,1726683,1769749,1815307,1862056,1909185,1956240,1999095,2039242,2081733,2125439,2167589,2207630,2246009,2282509,2316635,2348590,2378924,2408624,2439046,2468845,2500116,2535823,2576666,2620376,2663752,2706489,2748280,2788889,2828034,2865549,2901402,2935889,2969447,3001855,3032412,3060971,3088100,3114000,3138896,3162937,3185383,3205961,3225026,3242755,3259146,3274131,3287772,3300271,3311871,3322719,3332773,3341849,3349815,3356559,3361973,3365892,3368217,3368892,3367977,3365611,3361929,3357071,3351163,3344325,3336626,3328139,3318865,3308758,3297737,3285748,3272727
Tlaxcala,208789,213201,218008,223059,228361,233897,239623,245594,251842,258316,266405,277343,289917,303006,316587,330630,345160,360203,375733,391757,407858,423690,439562,455594,471651,487686,503497,518964,534145,548928,564248,580962,598687,617000,635599,653848,670820,687494,705084,723237,742780,764324,786343,808055,829204,847625,863189,878429,894082,909639,922918,934047,948697,966901,984978,1002945,1020782,1038408,1055698,1072503,1088757,1104513,1119851,1134927,1149780,1164402,1178985,1193640,1208246,1222806,1237116,1251011,1264498,1277528,1290062,1302105,1313610,1324573,1334974,1344834,1354151,1362915,1371133,1378835,1386002,1392656,1398804,1404480,1409683,1414434,1418774,1422701,1426245,1429395,1432165,1434576,1436613,1438276,1439576,1440482,1441026
Veracruz,1943245,2002088,2065239,2131894,2201929,2275351,2351984,2432311,2516481,2604217,2687876,2762918,2836353,2911715,2988581,3066601,3145835,3226301,3307450,3389461,3471676,3553325,3634478,3714215,3791579,3865022,3929843,3986418,4038234,4084719,4140664,4212660,4289757,4368382,4446729,4528606,4621639,4725007,4833748,4945307,5057299,5171397,5285242,5395602,5501136,5574528,5612019,5642846,5674266,5703111,5726259,5743837,5772564,5813827,5854169,5893814,5932366,5969199,6003491,6034394,6061586,6085428,6106347,6123847,6137253,6146720,6153511,6158098,6160671,6161413,6159417,6154585,6147432,6137978,6126092,6111896,6095659,6077625,6057932,6036559,6013546,5988957,5962773,5934953,5905412,5874098,5841015,5806213,5769747,5731736,5692306,5651584,5609690,5566751,5522845,5478061,5432432,5385966,5338652,5290495,5241488
Yucatán,410682,422445,435208,448670,462799,477578,492956,509039,525869,543364,560877,579011,598440,618483,639083,660168,681780,703959,726572,749729,773998,799206,824746,850435,876040,901607,925716,948014,969542,990138,1013955,1042823,1073617,1105363,1137581,1169393,1197661,1223754,1251297,1279591,1308731,1340005,1372137,1403544,1433822,1467233,1505779,1546176,1587817,1629875,1666047,1695696,1727780,1762931,1797883,1832713,1867471,1902116,1936527,1970534,2004005,2037056,2069908,2102334,2133836,2164363,2194276,2223736,2252683,2280901,2307851,2333372,2357672,2380787,2402782,2423706,2443624,2462600,2480720,2497990,2514441,2530062,2544850,2558824,2571915,2584126,2595419,2605795,2615241,2623766,2631363,2638070,2643875,2648787,2652815,2655965,2658236,2659629,2660101,2659671,2658332
Zacatecas,437414,442331,447930,453855,460065,466539,473149,480010,487158,494504,504465,518067,533002,548312,563903,579705,595764,612067,628496,645123,661062,675897,690312,704291,717605,729700,740117,749246,757362,764334,773142,785142,798118,811335,824388,837796,854929,875916,898046,920858,942603,963052,982959,1002159,1020375,1034673,1045021,1054824,1064921,1074672,1083717,1092843,1105610,1121674,1137833,1153931,1169836,1185363,1200380,1214821,1228750,1242298,1255661,1268822,1281657,1294205,1306719,1319245,1331616,1343825,1355693,1366990,1377738,1387897,1397528,1406675,1415413,1423798,1431863,1439666,1447201,1454444,1461313,1467729,1473603,1478868,1483435,1487367,1490661,1493364,1495596,1497389,1498832,1499968,1500851,1501477,1501856,1501940,1501696,1501094,1500078
