Entidad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Oaxaca,526130,531410,537226,543327,549694,556296,562992,569914,577116,584472,594739,611328,631775,652876,674531,696746,719562,742983,766916,791388,813191,830982,847588,863733,879206,895828,917517,942637,967521,992119,1014526,1035014,1055857,1077291,1099016,1122316,1149803,1180813,1212269,1243401,1272500,1298630,1323348,1347218,1369728,1389940,1408763,1427862,1447593,1467277,1485082,1499576,1516075,1536216,1556452,1576790,1597126,1617288,1637013,1656109,1674499,1692188,1709229,1725610,1741217,1756076,1770486,1784584,1798378,1812049,1825462,1838452,1851035,1863184,1874879,1886095,1896820,1907024,1916670,1925763,1934284,1942219,1949562,1956309,1962466,1968046,1973050,1977482,1981353,1984678,1987460,1989709,1991446,1992672,1993395,1993637,1993387,1992676,1991494,1989869,1987805
Puebla,657803,671359,686002,701417,717627,734605,752210,770679,790117,810408,832747,858606,886865,915945,945720,976158,1007334,1039286,1071921,1105273,1139905,1175410,1210966,1246484,1281709,1317727,1358212,1402227,1446172,1489887,1530053,1567249,1605495,1645011,1685307,1726349,1767728,1810149,1853029,1895187,1938475,1983732,2029184,2073686,2116406,2158238,2200634,2243839,2288383,2333226,2372354,2403338,2438297,2479555,2520393,2560882,2601005,2640635,2679500,2717328,2753981,2789501,2824076,2858076,2891533,2924318,2956912,2989536,3022129,3054855,3087358,3119313,3150672,3181305,3211073,3239873,3267597,3294131,3319370,3343287,3365828,3386973,3406711,3425059,3442029,3457672,3472032,3485158,3497087,3507856,3517528,3526149,3533725,3540314,3545930,3550606,3554353,3557179,3559115,3560160,3560330
Querétaro,118627,122603,126885,131413,136189,141213,146465,151995,157843,163997,171214,180041,189786,199974,210567,221576,233010,244879,257166,269903,282657,295211,307922,320838,333888,347329,361746,376867,392123,407451,423182,439664,456864,474725,493117,512127,531887,552564,573780,595149,616228,636669,656874,677039,696875,720418,749164,779592,811051,843205,870440,891684,913980,938175,962331,986443,1010539,1034587,1058500,1082150,1105442,1128401,1151060,1173465,1195506,1217079,1238369,1259447,1280177,1300522,1320330,1339503,1358058,1375960,1393195,1409785,1425712,1440963,1455528,1469413,1482624,1495152,1506997,1518155,1528648,1538461,1547596,1556055,1563841,1570960,1577411,1583219,1588368,1592869,1596727,1599941,1602527,1604494,1605833,1606552,1606682
Quintana Roo,20082,22256,24622,27130,29803,32636,35637,38822,42223,45834,50195,55738,62037,68737,75801,83238,91058,99278,107890,116917,126654,137174,148194,159619,171422,183653,196275,209222,222472,235988,250401,266027,282411,299466,317125,335190,352710,370032,387894,406055,424050,441600,459075,476638,494095,515490,542230,570666,600065,630161,654113,671452,689571,708709,727877,747053,766270,785528,804753,823834,842659,861259,879652,897815,915697,933297,950759,968132,985374,1002399,1018948,1034902,1050279,1065051,1079222,1092788,1105750,1118111,1129879,1141049,1151640,1161668,1171126,1180034,1188403,1196238,1203554,1210345,1216627,1222393,1227653,1232408,1236662,1240427,1243691,1246458,1248746,1250545,1251846,1252664,1253016
San Luis Potosí,315564,322028,329090,336524,344352,352564,361073,369984,379378,389184,400038,412466,425878,439695,453832,468275,483053,498179,513573,529254,544591,559305,573853,588245,602348,616141,629773,643257,656397,669136,682885,698340,714530,731202,748172,765790,783812,802179,820720,838877,856914,875126,893272,910914,927707,943669,959127,974537,990399,1006248,1020302,1032675,1046956,1063019,1078810,1094388,1109717,1124760,1139408,1153586,1167246,1180422,1193212,1205691,1217761,1229366,1240707,1251888,1262816,1273575,1284093,1294249,1304059,1313472,1322466,1331047,1339181,1346858,1354077,1360838,1367117,1372928,1378273,1383163,1387585,1391570,1395113,1398220,1400916,1403192,1405073,1406574,1407683,1408412,1408767,1408775,1408421,1407729,1406693,1405323,1403611
Sinaloa,300958,310981,321691,333034,345006,357608,370771,384616,399226,414617,430529,446451,462595,479315,496475,514039,532022,550398,569156,588276,607230,625664,643952,662127,680052,696587,711158,724814,737987,750634,763727,777929,792695,807829,823107,838765,855331,872939,890611,907746,926096,947277,969709,991720,1012935,1030330,1043464,1055758,1068393,1080889,1093571,1106919,1122146,1138822,1155156,1171195,1186935,1202342,1217312,1231743,1245582,1258873,1271692,1284055,1295793,1306844,1317428,1327672,1337599,1347173,1356137,1364384,1371998,1379077,1385673,1391810,1397438,1402512,1407002,1410917,1414266,1417059,1419311,1421044,1422242,1422916,1423063,1422683,1421798,1420417,1418562,1416250,1413495,1410280,1406645,1402592,1398143,1393303,1388077,1382473,1376503
Sonora,272762,280804,289363,298422,307987,318032,328494,339481,351052,363183,375790,388984,402837,417137,431811,446823,462175,477860,493827,510102,526832,544132,561784,579511,597217,614216,629030,642220,655062,667490,681046,696579,712979,729865,747046,765264,785338,806940,828875,850608,872682,895162,917507,939503,960801,978711,992806,1006178,1019958,1033665,1047877,1063141,1080249,1098707,1116909,1134821,1152458,1169753,1186616,1202924,1218613,1233745,1248411,1262399,1275386,1287366,1298557,1309076,1319129,1328936,1338311,1347216,1355751,1363956,1371827,1379277,1386273,1392814,1398919,1404586,1409791,1414501,1418679,1422357,1425515,1428170,1430307,1431932,1433040,1433641,1433759,1433401,1432579,1431313,1429600,1427473,1424949,1422024,1418723,1415052,1411017
Tabasco,174062,179085,184410,190070,196046,202335,208907,215822,223126,230817,239859,251302,264322,277953,292126,306844,322133,337986,354382,371336,388258,404824,421484,438341,455300,472744,489784,505945,522061,538053,553298,568065,583231,598848,614768,631132,650255,672448,695133,717875,739300,758464,776595,794384,811538,823218,828817,833440,838233,842810,848378,855677,864753,875021,885214,895407,905547,915576,925402,934877,943940,952619,960954,968785,975832,982011,987555,992550,996918,1000767,1004144,1007033,1009495,1011533,1013174,1014446,1015354,1015895,1016083,1015940,1015444,1014610,1013435,1011917,1010068,1007875,1005348,1002489,999292,995778,991950,987812,983366,978629,973607,968321,962768,956975,950956,944712,938267
Tamaulipas,373421,383164,393485,404381,415863,427889,440384,453456,467189,481534,496670,512630,529222,546276,563682,581393,599392,617679,636182,654914,674281,694444,714954,735455,755832,775265,795085,816030,836745,857133,878013,900236,923466,947406,971819,996833,1020649,1043506,1066562,1089097,1110639,1130853,1150159,1168706,1186096,1202440,1218094,1233525,1249396,1265138,1281600,1299739,1319683,1340578,1361209,1381565,1401614,1421341,1440625,1459342,1477419,1494902,1511913,1528249,1543476,1557478,1570517,1582745,1594357,1605536,1616054,1625855,1635135,1643938,1652228,1659889,1666862,1673165,1678861,1683959,1688434,1692204,1695261,1697623,1699334,1700373,1700758,1700463,1699501,1697902,1695684,1692853,1689429,1685435,1680878,1675790,1670198,1664120,1657553,1650536,1643068
Tlaxcala,104381,106577,108965,111474,114134,116919,119796,122813,126001,129335,133587,139388,146040,152964,160148,167586,175281,183254,191495,200000,208556,216984,225440,233991,242589,251179,259590,267825,276044,284203,292835,302279,312197,322482,333038,343546,353462,363203,373092,382895,393093,403886,414813,425632,436150,445425,453445,461329,469459,477601,485180,492052,500158,509669,519117,528517,537853,547109,556221,565112,573738,582125,590288,598311,606198,613955,621664,629388,637072,644709,652206,659495,666571,673420,680015,686351,692402,698154,703601,708739,713576,718101,722330,726274,729936,733318,736432,739309,741934,744316,746472,748411,750132,751629,752912,753992,754854,755514,755980,756238,756303
Veracruz,975657,1005261,1036991,1070510,1105855,1143009,1181788,1222559,1265511,1310526,1353988,1393537,1432415,1472271,1512802,1553958,1595730,1638102,1680870,1724026,1768180,1813132,1857964,1902181,1945436,1987046,2025235,2060443,2094171,2126231,2162595,2205660,2250771,2297037,2343920,2392625,2445488,2502401,2559725,2615782,2671899,2729127,2786313,2842046,2895315,2933727,2955900,2975189,2995027,3014089,3030779,3044117,3061581,3084454,3106736,3128602,3149942,3170534,3190007,3207907,3224027,3238477,3251383,3262464,3271322,3278002,3283115,3286919,3289525,3291042,3291152,3289844,3287354,3283691,3278734,3272511,3265093,3256558,3246938,3236193,3224326,3211389,3197401,3182401,3166396,3149410,3131483,3112642,3092916,3072346,3050972,3028827,3005955,2982388,2958174,2933348,2907960,2882030,2855597,2828696,2801356
Yucatán,204609,210493,216853,223573,230658,238091,245832,253963,262516,271468,280517,289993,300200,310728,321537,332609,343959,355601,367484,379648,392209,405045,417998,431021,444022,457037,469345,480828,492123,503182,515857,530860,546692,563068,579851,596826,612558,627443,642489,657246,672153,687823,703874,719664,734907,751928,771782,792611,814129,835973,855095,871130,888048,906117,924088,941999,959893,977765,995562,1013188,1030546,1047684,1064691,1081443,1097696,1113421,1128785,1143876,1158683,1173109,1186910,1200021,1212549,1224509,1235922,1246788,1257148,1266997,1276382,1285290,1293733,1301704,1309209,1316274,1322881,1329030,1334725,1339952,1344713,1349001,1352809,1356138,1358990,1361337,1363202,1364579,1365476,1365898,1365821,1365285,1364275
Zacatecas,219055,221951,225189,228615,232227,236016,239896,243946,248205,252643,258300,265687,273787,282091,290535,299091,307796,316625,325540,334560,343056,350786,358242,365463,372359,378820,384944,390824,396345,401477,407084,413616,420477,427487,434524,441798,450722,461350,472086,482621,492606,502020,511212,520094,528455,535382,541011,546498,552180,557790,563298,568970,575914,583981,592036,600082,608137,616139,624038,631772,639330,646726,653998,661091,667898,674416,680769,687017,693113,699108,704994,710705,716265,721630,726811,731779,736535,741043,745303,749310,753053,756541,759748,762686,765353,767767,769904,771787,773421,774810,775980,776920,777644,778148,778456,778557,778467,778186,777722,777095,776287
