Edad,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
20,261037,267745,273834,279864,286164,292814,300000,307802,316244,325510,335515,345789,355561,365842,377712,389066,399310,409475,419413,428946,437824,449366,466405,487323,512144,537456,559682,580904,603938,629132,655115,680636,705372,730297,755099,777773,798364,819285,841252,863380,885502,907250,927391,945096,958812,966812,968125,965057,962128,961412,963879,970746,982127,996057,1010051,1023469,1036318,1050159,1065118,1080830,1098870,1117265,1130026,1135066,1134058,1128147,1119984,1114445,1116065,1124293,1131453,1130756,1123048,1113340,1106377,1102996,1102406,1103939,1106057,1106249,1101547,1091221,1077462,1064999,1055646,1045406,1029592,1012805,1005621,1003028,998345,993902,984237,971895,962059,951780,941208,930483,919733,909057,898444,887787,877020,866288,855775,845492,835389,825407,815523,805791,796211,786809,777611,768536,759503,750498,741578,732817,724172,715530,706877
21,251378,258908,265505,271553,277563,283852,290464,297570,305296,313686,322894,332863,343104,352828,363054,374812,386009,396085,406044,415758,425083,433765,445131,461992,482750,507390,532459,554440,575589,598619,623718,649534,674855,699382,724020,748337,770365,790229,810413,831716,853238,874804,896107,916027,933734,947489,955403,956434,952901,949291,948579,952535,961031,973247,987061,1001809,1017288,1032304,1046902,1061441,1077170,1095379,1113672,1126380,1130989,1128928,1122596,1114954,1110303,1112318,1120582,1127673,1127111,1119533,1109840,1102866,1099463,1098856,1100381,1102510,1102733,1098087,1087836,1074158,1061764,1052462,1042266,1026505,1009769,1002607,1000020,995351,990924,981293,968995,959199,948961,938432,927750,917042,906407,895834,885216,874488,863793,853317,843070,833002,823054,813205,803507,793960,784590,775423,766379,757377,748402,739512,730780,722164,713550
22,242380,249314,256737,263301,269340,275350,281608,288149,295189,302869,311208,320386,330324,340516,350192,360325,371939,382978,392862,402615,412142,421282,429833,441087,457840,478469,502891,527710,549621,570787,593738,618688,644305,669426,693687,717874,741580,762932,782131,801730,822492,843515,864680,885770,905666,923368,936971,944541,945037,940781,937113,937764,943236,952554,964734,979351,996158,1013774,1029430,1043485,1057980,1073817,1091870,1110033,1122183,1125600,1122985,1117130,1110419,1106217,1108320,1116557,1123808,1123393,1115855,1106180,1099206,1095795,1095183,1096713,1098859,1099116,1094523,1084341,1070738,1058405,1049146,1038988,1023280,1006597,999457,996881,992232,987826,978235,965986,956232,946037,935552,924913,914246,903653,893120,882542,871854,861199,850762,840553,830522,820611,810797,801134,791621,782285,773151,764139,755168,746224,737365,728664,720076
23,233568,240392,247235,254630,261192,267238,273225,279419,285902,292902,300537,308855,318009,327902,338045,347640,357657,369129,379985,389683,399270,408626,417651,426132,437336,454013,474480,498683,523417,545337,566441,589268,614041,639471,664339,688192,711821,734906,755655,774338,793474,813801,834482,855458,876510,896371,913893,927111,934071,933773,929380,926951,929005,935286,944670,957722,974383,993278,1011393,1026376,1040313,1054839,1070471,1088327,1105832,1116670,1119394,1117185,1112268,1106049,1101988,1104149,1112594,1119996,1119626,1112119,1102460,1095490,1092079,1091472,1093013,1095179,1095468,1090925,1080805,1067268,1054989,1045767,1035646,1019990,1003364,996252,993692,989068,984687,975139,962942,953230,943078,932635,922037,911413,900860,890368,879831,869184,858571,848174,838003,828011,818136,808359,798731,789252,779950,770848,761869,752930,744018,735191,726520
24,225050,231660,238405,245236,252633,259206,265233,271161,277304,283754,290715,298336,306636,315752,325601,335667,345165,355069,366370,377052,386605,396041,405302,414262,422727,433910,450471,470774,494909,519637,541492,562490,585171,609777,634975,659469,682825,705909,728443,748725,767010,785779,805819,826340,847276,868282,887966,905090,917655,923750,923202,919902,918761,921622,928072,938402,953484,972166,991424,1008745,1023530,1037433,1051697,1067082,1084217,1100318,1110346,1113401,1112115,1107699,1101653,1097718,1100161,1108793,1116238,1115889,1108397,1098751,1091788,1088385,1087789,1089347,1091535,1091854,1087353,1077289,1063810,1051580,1042393,1032309,1016709,1000143,993064,990523,985927,981575,972070,959923,950252,940141,929738,919182,908599,898088,887637,877141,866536,855964,845608,835476,825521,815683,805942,796348,786904,777635,768567,759620,750713,741833,733037
25,217860,223222,229765,236507,243354,250761,257316,263288,269170,275283,281698,288652,296260,304530,313610,323391,333370,342775,352534,363676,374227,383649,393002,402209,411159,419633,430756,447201,467473,491606,516246,538000,558879,581424,605827,630684,654737,677615,700214,722323,742240,760222,778766,798670,819153,840052,860885,880181,896649,908314,914048,914414,912280,911935,915061,922524,934855,951888,970816,989178,1006236,1020921,1034511,1048491,1063123,1078830,1094044,1104304,1108235,1107440,1103207,1097309,1093729,1096437,1105124,1112575,1112221,1104734,1095101,1088152,1084764,1084187,1085766,1087976,1088322,1083858,1073841,1060415,1048231,1039079,1029034,1013492,996991,989948,987430,982863,978538,969075,956976,947344,937271,926909,916393,905851,895381,884972,874518,863955,853424,843107,833013,823095,813292,803586,794026,784616,775380,766344,757429,748554,739705
26,210766,216100,221413,227962,234729,241595,248981,255482,261411,267265,273346,279759,286704,294288,302528,311552,321261,331156,340433,350060,361086,371514,380868,390178,399373,408333,416777,427839,444285,464580,488634,513168,534811,555577,577948,602052,626519,650152,672610,694837,716617,736260,754057,772500,792370,812822,833566,854031,872692,888263,899495,905958,907333,905969,905982,910168,919589,933795,950974,968937,986998,1003887,1018225,1031498,1044707,1057918,1072722,1088091,1099157,1103560,1102933,1098827,1093337,1090106,1092900,1101595,1109019,1108646,1101160,1091546,1084620,1081258,1080707,1082309,1084539,1084906,1080472,1070497,1057122,1044982,1035868,1025865,1010385,993949,986944,984450,979911,975611,966187,954133,944537,934503,924180,913705,903203,892775,882407,871994,861472,850980,840701,830644,820760,810993,801320,791793,782416,773212,764208,755324,746480
27,203650,209071,214363,219698,226279,233070,239921,247251,253707,259608,265432,271514,277921,284848,292408,300602,309569,319207,328982,338143,347678,358589,368952,378274,387582,396799,405729,414138,425240,441724,461971,485932,510348,531888,552513,574623,598388,622487,645743,667877,689822,711356,730835,748549,766969,786814,807125,827538,847401,865196,880298,892103,899416,901504,900551,901649,907753,918969,933236,949414,967042,984896,1001411,1015410,1027904,1039723,1052040,1066958,1083072,1094569,1099102,1098562,1094896,1089823,1086702,1089526,1098192,1105572,1105176,1097700,1088115,1081224,1077895,1077373,1078997,1081243,1081625,1077217,1067282,1053955,1041863,1032788,1022830,1007413,991043,984075,981602,977090,972813,963425,951414,941854,931857,921573,911138,900678,890290,879962,869589,859105,848651,838408,828385,818536,808801,799161,789667,780321,771149,762175,753321
28,196553,202019,207403,212720,218100,224709,231489,238290,245572,251996,257866,263695,269773,276165,283073,290595,298745,307654,317184,326853,335938,345377,356234,366564,375887,385212,394407,403311,411769,422945,439407,459579,483442,507753,529157,549561,571389,594833,618605,641571,663456,685189,706575,725977,743671,762070,781797,801808,821661,840707,858026,873572,886095,894044,896559,896697,899654,907470,918683,931931,947758,965155,982623,998786,1012005,1023159,1034102,1046519,1062136,1078638,1090222,1094778,1094697,1091502,1086546,1083473,1086285,1094904,1102237,1101827,1094372,1084828,1077981,1074689,1074195,1075837,1078095,1078489,1074105,1064209,1050933,1038889,1029857,1019945,1004589,988282,981349,978897,974408,970153,960799,948829,939305,929345,919100,908705,898284,887936,877646,867311,856864,846445,836236,826247,816430,806727,797118,787656,778341,769198,760254
29,189489,194981,200415,205827,211192,216610,223211,229942,236702,243946,250335,256211,262036,268102,274480,281355,288844,296949,305763,315197,324797,333798,343200,354027,364352,373695,383010,392174,401134,409677,420849,437262,457367,481137,505316,526523,546678,568239,591399,614913,637664,659366,680975,702282,721651,739331,757626,777081,796579,815670,834246,851922,868076,881165,889527,893102,895029,899613,907379,917574,930468,946051,963066,980176,995575,1007503,1017811,1028840,1041919,1057910,1074453,1085990,1091010,1091434,1088348,1083442,1080373,1083155,1091725,1099021,1098611,1091189,1081696,1074896,1071641,1071173,1072829,1075095,1075502,1071141,1061286,1048061,1036068,1027079,1017213,1001916,985668,978766,976332,971865,967631,958311,946382,936893,926970,916763,906407,896025,885714,875461,865161,854748,844364,834187,824230,814443,804771,795193,785761,776475,767361
